Country Name,Year,Population
Bangladesh,1960,48199747
Bangladesh,1961,49592802
Bangladesh,1962,51030137
Bangladesh,1963,52532417
Bangladesh,1964,54129100
Bangladesh,1965,55834038
Bangladesh,1966,57672990
Bangladesh,1967,59620669
Bangladesh,1968,61579473
Bangladesh,1969,63417394
Bangladesh,1970,65047770
Bangladesh,1971,66424744
Bangladesh,1972,67597470
Bangladesh,1973,68691185
Bangladesh,1974,69884420
Bangladesh,1975,71305923
Bangladesh,1976,72999136
Bangladesh,1977,74925896
Bangladesh,1978,77033846
Bangladesh,1979,79236776
Bangladesh,1980,81470860
Bangladesh,1981,83721268
Bangladesh,1982,86007331
Bangladesh,1983,88338242
Bangladesh,1984,90732362
Bangladesh,1985,93199865
Bangladesh,1986,95742431
Bangladesh,1987,98343809
Bangladesh,1988,100975321
Bangladesh,1989,103599232
Bangladesh,1990,106188642
Bangladesh,1991,108727432
Bangladesh,1992,111221938
Bangladesh,1993,113695139
Bangladesh,1994,116182267
Bangladesh,1995,118706871
Bangladesh,1996,121269645
Bangladesh,1997,123854640
Bangladesh,1998,126447965
Bangladesh,1999,129029691
Bangladesh,2000,131581243
Bangladesh,2001,134107160
Bangladesh,2002,136600667
Bangladesh,2003,139019001
Bangladesh,2004,141307489
Bangladesh,2005,143431101
Bangladesh,2006,145368004
Bangladesh,2007,147139191
Bangladesh,2008,148805814
Bangladesh,2009,150454708
Bangladesh,2010,152149102
Bangladesh,2011,153911916
Bangladesh,2012,155727053
Bangladesh,2013,157571292
Bangladesh,2014,159405279
Bangladesh,2015,161200886
Bangladesh,2016,162951560
